id_ipc_apertura;valor_ipc_apertura;id_apertura;id_periodo;id_region
NULL;2.9;4;13;2
NULL;2.4;4;14;2
NULL;0.1;4;15;2
NULL;1.3;4;16;2
NULL;1.1;4;17;2
NULL;1.2;4;18;2
NULL;3.5;4;19;2
NULL;1.7;4;20;2
NULL;5;4;21;2
NULL;0.8;4;22;2
NULL;5.3;4;23;2
NULL;1;4;24;2
NULL;5;4;25;2
NULL;2.5;4;26;2
NULL;6.4;4;27;2
NULL;0.8;4;28;2
NULL;2.8;4;29;2
NULL;3.2;4;30;2
NULL;0;4;31;2
NULL;6.3;4;32;2
NULL;7.6;4;33;2
NULL;6.5;4;34;2
NULL;6.2;4;35;2
NULL;3.4;4;36;2
NULL;5.5;4;37;2
NULL;1.4;4;38;2
NULL;4.1;4;39;2
NULL;2.1;4;40;2
NULL;0;4;41;2
NULL;5.6;4;42;2
NULL;1.2;4;43;2
NULL;0;4;44;2
NULL;6.6;4;45;2
NULL;0.5;4;46;2
NULL;2.9;4;47;2
NULL;3.8;4;48;2
NULL;4.8;4;49;2
NULL;2.9;4;50;2
NULL;6.9;4;51;2
NULL;0.9;4;52;2
NULL;0;4;53;2
NULL;5.9;4;54;2
NULL;0.7;4;55;2
NULL;0;4;56;2
NULL;6.6;4;57;2
NULL;0.5;4;58;2
NULL;0;4;59;2
NULL;6;4;60;2
NULL;0.3;4;61;2
NULL;1.4;4;62;2
NULL;6;4;63;2
NULL;0;4;64;2
NULL;4.9;4;65;2
NULL;-2.7;5;1;2
NULL;-0.8;5;2;2
NULL;5.9;5;3;2
NULL;5.6;5;4;2
NULL;0.7;5;5;2
NULL;0.8;5;6;2
NULL;-2.6;5;7;2
NULL;-1.1;5;8;2
NULL;6.5;5;9;2
NULL;1.8;5;10;2
NULL;0.9;5;11;2
NULL;1;5;12;2
NULL;-2.2;5;13;2
NULL;-0.9;5;14;2
NULL;8.5;5;15;2
NULL;3.1;5;16;2
NULL;1.8;5;17;2
NULL;1.8;5;18;2
NULL;-1.5;5;19;2
NULL;0.7;5;20;2
NULL;14.2;5;21;2
NULL;4.6;5;22;2
NULL;1.5;5;23;2
NULL;0;5;24;2
NULL;-1.3;5;25;2
NULL;0.6;5;26;2
NULL;10;5;27;2
NULL;5.6;5;28;2
NULL;2.3;5;29;2
NULL;0.9;5;30;2
NULL;-0.7;5;31;2
NULL;2.4;5;32;2
NULL;13;5;33;2
NULL;4.5;5;34;2
NULL;4.1;5;35;2
NULL;1.7;5;36;2
NULL;0.2;5;37;2
NULL;2.3;5;38;2
NULL;5;5;39;2
NULL;;5;40;2
NULL;10.1;5;41;2
NULL;5;5;42;2
NULL;1.7;5;43;2
NULL;2.8;5;44;2
NULL;7.8;5;45;2
NULL;6.4;5;46;2
NULL;2.2;5;47;2
NULL;4.3;5;48;2
NULL;-0.3;5;49;2
NULL;1.8;5;50;2
NULL;18.7;5;51;2
NULL;5.2;5;52;2
NULL;0.5;5;53;2
NULL;3.1;5;54;2
NULL;0.3;5;55;2
NULL;4.2;5;56;2
NULL;7;5;57;2
NULL;6.3;5;58;2
NULL;3.5;5;59;2
NULL;4.5;5;60;2
NULL;2.2;5;61;2
NULL;2.9;5;62;2
NULL;14.3;5;63;2
NULL;12.5;5;64;2
NULL;5.1;5;65;2
NULL;-0.5;6;1;2
NULL;0.6;6;2;2
NULL;1.5;6;3;2
NULL;3.4;6;4;2
NULL;0.3;6;5;2
NULL;0;6;6;2
NULL;0.6;6;7;2
NULL;-0.4;6;8;2
NULL;4.1;6;9;2
NULL;0.8;6;10;2
NULL;1.8;6;11;2
NULL;0;6;12;2
NULL;-0.5;6;13;2
NULL;0.4;6;14;2
NULL;1.9;6;15;2
NULL;3.7;6;16;2
NULL;1.5;6;17;2
NULL;3.1;6;18;2
NULL;2;6;19;2
NULL;0.9;6;20;2
NULL;9.9;6;21;2
NULL;5.6;6;22;2
NULL;2.4;6;23;2
NULL;1.6;6;24;2
NULL;0.4;6;25;2
NULL;2.1;6;26;2
NULL;3.6;6;27;2
NULL;8.1;6;28;2
NULL;3.1;6;29;2
NULL;2.4;6;30;2
NULL;2.1;6;31;2
NULL;5.1;6;32;2
NULL;7.9;6;33;2
NULL;4.8;6;34;2
NULL;4.4;6;35;2
NULL;2.7;6;36;2
NULL;1.5;6;37;2
NULL;2.4;6;38;2
NULL;1.7;6;39;2
NULL;;6;40;2
NULL;10.2;6;41;2
NULL;5.8;6;42;2
NULL;0.4;6;43;2
NULL;2;6;44;2
NULL;6.5;6;45;2
NULL;5.6;6;46;2
NULL;5.4;6;47;2
NULL;3.2;6;48;2
NULL;1.2;6;49;2
NULL;3.7;6;50;2
NULL;9.2;6;51;2
NULL;4;6;52;2
NULL;-0.6;6;53;2
NULL;6.6;6;54;2
NULL;1.7;6;55;2
NULL;2.9;6;56;2
NULL;6.1;6;57;2
NULL;4.4;6;58;2
NULL;2.7;6;59;2
NULL;8.3;6;60;2
NULL;1.4;6;61;2
NULL;2.9;6;62;2
NULL;11.4;6;63;2
NULL;4.7;6;64;2
NULL;4.6;6;65;2
NULL;-0.7;7;1;2
NULL;7.5;7;2;2
NULL;-2.6;7;3;2
NULL;1.4;7;4;2
NULL;1.6;7;5;2
NULL;1.7;7;6;2
NULL;4.2;7;7;2
NULL;4.2;7;8;2
NULL;1.4;7;9;2
NULL;1;7;10;2
NULL;1.7;7;11;2
NULL;7.9;7;12;2
NULL;-4.1;7;13;2
NULL;3.2;7;14;2
NULL;1.2;7;15;2
NULL;3.4;7;16;2
NULL;1.6;7;17;2
NULL;5.3;7;18;2
NULL;-2;7;19;2
NULL;7.1;7;20;2
NULL;-1.3;7;21;2
NULL;4.2;7;22;2
NULL;-1;7;23;2
NULL;10.9;7;24;2
NULL;0.5;7;25;2
NULL;3.3;7;26;2
NULL;1.8;7;27;2
NULL;1.8;7;28;2
NULL;4.8;7;29;2
NULL;1.6;7;30;2
NULL;4.4;7;31;2
NULL;1.6;7;32;2
NULL;1.3;7;33;2
NULL;3.9;7;34;2
NULL;3.8;7;35;2
NULL;4.8;7;36;2
NULL;-2;7;37;2
NULL;2.4;7;38;2
NULL;3.9;7;39;2
NULL;0.7;7;40;2
NULL;-0.1;7;41;2
NULL;1;7;42;2
NULL;0.5;7;43;2
NULL;2.5;7;44;2
NULL;0.9;7;45;2
